Transaction ID,Timestamp,Register,SKU,Item Name,Department,Qty,Unit Price,Line Total
T250901-0001,9/1/2025 7:00:13 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0002,9/1/2025 7:01:28 AM,REG2,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0002,9/1/2025 7:01:28 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0002,9/1/2025 7:01:28 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0003,9/1/2025 7:04:21 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0004,9/1/2025 7:21:03 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0005,9/1/2025 7:25:34 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0006,9/1/2025 7:36:18 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0007,9/1/2025 8:01:40 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0007,9/1/2025 8:01:40 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0008,9/1/2025 8:16:32 AM,REG1,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250901-0008,9/1/2025 8:16:32 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0009,9/1/2025 8:17:35 AM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0009,9/1/2025 8:17:35 AM,REG2,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250901-0010,9/1/2025 8:18:13 AM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0011,9/1/2025 8:35:52 AM,REG2,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,2,5.00,10.00
T250901-0012,9/1/2025 9:03:08 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0013,9/1/2025 9:06:28 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
